ID,Name,Category,Collection,Details,Source photos
"eylin-neem-and-aloe-vera-shampoo","EYLIN Neem & Aloe Vera Shampoo","Hair Care","EYLIN Neem & Aloe Vera","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185651.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185708.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185748.jpg.jpeg"
"eylin-neem-and-aloe-vera-shower-gel","EYLIN Neem & Aloe Vera Shower Gel","Bath & Body","EYLIN Neem & Aloe Vera","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185611.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185620.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185630.jpg.jpeg"
"eylin-neem-and-aloe-vera-body-lotion","EYLIN Neem & Aloe Vera Body Lotion","Bath & Body","EYLIN Neem & Aloe Vera","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185520.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260507_113647.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260507_113701.jpg.jpeg"
"eylin-onion-and-amla-guest-amenity-kit","EYLIN Onion & Amla Guest Amenity Kit","Gift Sets","EYLIN Onion & Amla","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.41 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.39.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.41.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.42 (1).jpeg"
"eylin-onion-and-amla-soap","EYLIN Onion & Amla Soap","Soaps","EYLIN Onion & Amla","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 16.21.34 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 16.21.34 (2).jpeg"
"eylin-onion-and-amla-shampoo","EYLIN Onion & Amla Shampoo","Hair Care","EYLIN Onion & Amla","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.39.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.41.jpeg"
"eylin-onion-and-amla-shower-gel","EYLIN Onion & Amla Shower Gel","Bath & Body","EYLIN Onion & Amla","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.41 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.41.jpeg"
"eylin-onion-and-amla-body-lotion","EYLIN Onion & Amla Body Lotion","Bath & Body","EYLIN Onion & Amla","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.39.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin onion extratct kit\WhatsApp Image 2026-09-09 at 15.58.41 (1).jpeg"
"eylin-moisturising-guest-soap","EYLIN Moisturising Guest Soap","Soaps","EYLIN Guest Soaps","10 g, 15 g and 20 g","source-assets\full-catalogue\website folder\dry amenities\eylin moisturiser soap 10g.,15g,& 20g..jpeg"
"eylin-sandal-wrapped-soap","EYLIN Sandal Wrapped Soap","Soaps","EYLIN Guest Soaps","Sandal","source-assets\full-catalogue\website folder\dry amenities\eylin sandal,neem  & aloevra, lavender soap.jpeg"
"eylin-neem-and-aloe-vera-wrapped-soap","EYLIN Neem & Aloe Vera Wrapped Soap","Soaps","EYLIN Guest Soaps","Neem & Aloe Vera","source-assets\full-catalogue\website folder\dry amenities\eylin sandal,neem  & aloevra, lavender soap.jpeg"
"eylin-lavender-wrapped-soap","EYLIN Lavender Wrapped Soap","Soaps","EYLIN Guest Soaps","Lavender","source-assets\full-catalogue\website folder\dry amenities\eylin sandal,neem  & aloevra, lavender soap.jpeg"
"zivara-moisturising-guest-soap","Zivara Moisturising Guest Soap","Soaps","Zivara Guest Care","8 g","source-assets\full-catalogue\website folder\dry amenities\zivara moisturising soap 8 gm. (2).jpeg | source-assets\full-catalogue\website folder\dry amenities\zivara moisturising soap 8 gm..jpeg"
"eylin-shampoo-sachet","EYLIN Shampoo Sachet","Hair Care","EYLIN Guest Care","8 ml","source-assets\full-catalogue\website folder\dry amenities\shmapoo pouch 8ml.jpeg"
"bottle-tag","Bottle Tag","Dry Amenities","Room Accessories","Bottle neck tag","source-assets\full-catalogue\website folder\dry amenities\bottle tag.jpeg"
"luggage-tag","Luggage Tag","Dry Amenities","Room Accessories","Guest luggage tag","source-assets\full-catalogue\website folder\dry amenities\luggage tag.jpeg"
"do-not-disturb-and-make-up-room-cards","Do Not Disturb & Make Up Room Cards","Dry Amenities","Room Accessories","Door-hanging room cards","source-assets\full-catalogue\website folder\dry amenities\dnd card.jpeg"
"butter-paper-glass-cover","Butter Paper Glass Cover","Dry Amenities","Room Accessories","Paper glass cover","source-assets\full-catalogue\website folder\dry amenities\butter paper glass cover.jpeg | source-assets\full-catalogue\website folder\dry amenities\butter paper glass cover (2).jpeg"
"plastic-glass-cover","Plastic Glass Cover","Dry Amenities","Room Accessories","Plastic glass cover","source-assets\full-catalogue\website folder\dry amenities\plastic glass cover (2).jpeg | source-assets\full-catalogue\website folder\dry amenities\plastic glass cover.jpeg"
"round-coaster","Round Coaster","Dry Amenities","Room Accessories","Round format","source-assets\full-catalogue\website folder\dry amenities\round coaster.jpeg | source-assets\full-catalogue\website folder\dry amenities\round coaster (2).jpeg"
"square-coaster","Square Coaster","Dry Amenities","Room Accessories","Square format","source-assets\full-catalogue\website folder\dry amenities\square coaster.jpeg | source-assets\full-catalogue\website folder\dry amenities\square cpaster (2).jpeg"
"wc-hygiene-band","WC Hygiene Band","Dry Amenities","Room Accessories","Sanitary presentation band","source-assets\full-catalogue\website folder\dry amenities\wc band.jpeg | source-assets\full-catalogue\website folder\dry amenities\wcband.jpeg"
"shoe-shine-box","Shoe Shine Box","Dry Amenities","Guest Accessories","Round shoe-shine box","source-assets\full-catalogue\website folder\dry amenities\nidhi shoe shine box.jpeg | source-assets\full-catalogue\website folder\dry amenities\shoe shiner box & strip.jpeg"
"shoe-shiner-strip","Shoe Shiner Strip","Dry Amenities","Guest Accessories","Individually packed strip","source-assets\full-catalogue\website folder\dry amenities\shoe shiner box & strip.jpeg"
"shaving-kit","Shaving Kit","Dry Amenities","Guest Accessories","Black presentation box","source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.24.jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.24 (1).jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.27 (2).jpeg"
"dental-kit","Dental Kit","Dry Amenities","Guest Accessories","Black presentation box","source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.25.jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.26 (2).jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.27 (3).jpeg"
"shower-cap","Shower Cap","Dry Amenities","Guest Accessories","Black presentation box","source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.26.jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.25 (2).jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.27 (1).jpeg"
"guest-comb","Guest Comb","Dry Amenities","Guest Accessories","Black presentation box","source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.26 (1).jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.25 (1).jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-22 at 12.55.27.jpeg"
"sewing-kit","Sewing Kit","Dry Amenities","Guest Accessories","Paper pouch","source-assets\full-catalogue\website folder\dry amenities\paper packing pouch.jpeg"
"black-box-guest-amenity-set","Black Box Guest Amenity Set","Dry Amenities","Guest Accessories","Coordinated boxed amenities","source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-27 at 12.00.53 (1).jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-27 at 12.00.53.jpeg | source-assets\full-catalogue\website folder\dry amenities\WhatsApp Image 2026-07-27 at 12.00.54.jpeg"
"brown-chromo-paper-amenity-boxes","Brown Chromo Paper Amenity Boxes","Dry Amenities","Amenity Packaging","Printed brown boxes","source-assets\full-catalogue\website folder\dry amenities\brown chromo paper packing box.jpeg"
"brown-paper-amenity-pouches","Brown Paper Amenity Pouches","Dry Amenities","Amenity Packaging","Brown pouch presentation","source-assets\full-catalogue\website folder\dry amenities\brown paper pack pouch.jpeg"
"white-paper-amenity-pouches","White Paper Amenity Pouches","Dry Amenities","Amenity Packaging","White pouch presentation","source-assets\full-catalogue\website folder\dry amenities\paper packing pouch.jpeg"
"gold-border-amenity-boxes","Gold Border Amenity Boxes","Dry Amenities","Amenity Packaging","White boxes with gold border","source-assets\full-catalogue\website folder\dry amenities\plain boxes with golden colour border.jpeg"
"jute-guest-slippers","Jute Guest Slippers","Slippers","Hotel Slippers","Hotel guest footwear","source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 15.50.28 (2).jpeg | source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 15.50.28 (1).jpeg | source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 15.50.28.jpeg"
"white-closed-toe-guest-slippers","White Closed-Toe Guest Slippers","Slippers","Hotel Slippers","Hotel guest footwear","source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 19.16.05 (2).jpeg"
"white-open-toe-guest-slippers","White Open-Toe Guest Slippers","Slippers","Hotel Slippers","Hotel guest footwear","source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 19.16.05.jpeg | source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 19.16.05 (3).jpeg"
"black-guest-slippers","Black Guest Slippers","Slippers","Hotel Slippers","Hotel guest footwear","source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 19.16.06 (1).jpeg | source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 19.16.06.jpeg | source-assets\full-catalogue\website folder\hotel guest slipper\WhatsApp Image 2026-06-20 at 19.16.05 (1).jpeg"
"double-bottle-metal-dispenser","Double Bottle Metal Dispenser","Dispensers","Amenity Dispensers","Wall-mounted bottle holder","source-assets\full-catalogue\website folder\dispensors\double bottle metal dispensor.jpeg"
"double-bottle-plastic-dispenser","Double Bottle Plastic Dispenser","Dispensers","Amenity Dispensers","Wall-mounted bottle holder","source-assets\full-catalogue\website folder\dispensors\double bottle plastic dispensor.jpeg"
"single-bottle-metal-dispenser","Single Bottle Metal Dispenser","Dispensers","Amenity Dispensers","Wall-mounted bottle holder","source-assets\full-catalogue\website folder\dispensors\single bottle metal dispensor.jpeg"
"single-bottle-plastic-dispenser","Single Bottle Plastic Dispenser","Dispensers","Amenity Dispensers","Wall-mounted bottle holder","source-assets\full-catalogue\website folder\dispensors\single bottle plastic dispensor.jpeg"
"zivara-aqua-blue-premium-handwash","Zivara Aqua Blue Premium Handwash","Handwash","Zivara Handwash","5 L","source-assets\full-catalogue\website folder\handwash collection\WhatsApp Image 2026-07-22 at 14.48.50.jpeg"
"zivara-strawberry-handwash","Zivara Strawberry Handwash","Handwash","Zivara Handwash","5 L","source-assets\full-catalogue\website folder\handwash collection\WhatsApp Image 2026-07-22 at 14.48.51 (1).jpeg"
"zivara-neem-and-aloe-vera-handwash","Zivara Neem & Aloe Vera Handwash","Handwash","Zivara Handwash","5 L","source-assets\full-catalogue\website folder\handwash collection\WhatsApp Image 2026-07-22 at 14.48.51 (2).jpeg"
"zivara-eco-handwash","Zivara Eco Handwash","Handwash","Zivara Handwash","5 L","source-assets\full-catalogue\website folder\handwash collection\WhatsApp Image 2026-07-22 at 14.48.51.jpeg"
"zivara-aloe-vera-and-lemongrass-handwash","Zivara Aloe Vera & Lemongrass Handwash","Handwash","Zivara Handwash","5 L","source-assets\full-catalogue\website folder\handwash collection\WhatsApp Image 2026-07-29 at 15.21.34.jpeg"
"zivara-laundry-liquid","Zivara Laundry Liquid","Cleaning Products","Zivara Housekeeping","5 L","source-assets\full-catalogue\website folder\cleaning chemicals\laundry liquid new  5 ltr.jpg | source-assets\full-catalogue\website folder\cleaning chemicals\zivara laundry liquid.jpeg"
"zivara-bathroom-cleaner","Zivara Bathroom Cleaner","Cleaning Products","Zivara Housekeeping","Housekeeping range","source-assets\full-catalogue\website folder\cleaning chemicals\zivara bathroom cleaner.jpeg"
"zivara-concentrated-phenyl","Zivara Concentrated Phenyl","Cleaning Products","Zivara Housekeeping","Housekeeping range","source-assets\full-catalogue\website folder\cleaning chemicals\zivara concentrate phenyl.jpeg"
"zivara-dishwash-liquid","Zivara Dishwash Liquid","Cleaning Products","Zivara Housekeeping","Housekeeping range","source-assets\full-catalogue\website folder\cleaning chemicals\zivara dishwasher.jpeg"
"zivara-floor-cleaner","Zivara Floor Cleaner","Cleaning Products","Zivara Housekeeping","Housekeeping range","source-assets\full-catalogue\website folder\cleaning chemicals\zivara floor cleaner.jpeg"
"zivara-glass-cleaner","Zivara Glass Cleaner","Cleaning Products","Zivara Housekeeping","Housekeeping range","source-assets\full-catalogue\website folder\cleaning chemicals\zivara glass cleaner.jpeg"
"zivara-hard-surface-cleaner","Zivara Hard Surface Cleaner","Cleaning Products","Zivara Housekeeping","Housekeeping range","source-assets\full-catalogue\website folder\cleaning chemicals\zivara hard surface.jpeg"
"zivara-toilet-bowl-cleaner","Zivara Toilet Bowl Cleaner","Cleaning Products","Zivara Housekeeping","5 L","source-assets\full-catalogue\website folder\cleaning chemicals\zivara toilet (bowl)cleaner 5 ltr.jpg"
"zivara-white-phenyl","Zivara White Phenyl","Cleaning Products","Zivara Housekeeping","Housekeeping range","source-assets\full-catalogue\website folder\cleaning chemicals\zivara white phenyl.jpeg"
"zivara-bulgarian-rose-air-freshener","Zivara Bulgarian Rose Air Freshener","Air Fresheners","Zivara Air Care","5 L refill shown with spray bottle","source-assets\full-catalogue\website folder\air freshner\zivara bulgarian rose air freshner 5 ltr.jpg"
"zivara-evening-in-paris-air-freshener","Zivara Evening in Paris Air Freshener","Air Fresheners","Zivara Air Care","5 L refill shown with spray bottle","source-assets\full-catalogue\website folder\air freshner\zivara evening in paris 5 ltr.jpg"
"zivara-lavender-air-freshener","Zivara Lavender Air Freshener","Air Fresheners","Zivara Air Care","5 L refill shown with spray bottle","source-assets\full-catalogue\website folder\air freshner\zivara lavender air freshner 5 ltr.jpg"
"zivara-lemongrass-air-freshener","Zivara Lemongrass Air Freshener","Air Fresheners","Zivara Air Care","5 L refill shown with spray bottle","source-assets\full-catalogue\website folder\air freshner\zivara lemongrass air freshner 5 ltr.jpg"
"zivara-london-dreams-air-freshener","Zivara London Dreams Air Freshener","Air Fresheners","Zivara Air Care","5 L refill shown with spray bottle","source-assets\full-catalogue\website folder\air freshner\zivara london dreams air freshner 5 ltr.jpg"
"zivara-sandal-air-freshener","Zivara Sandal Air Freshener","Air Fresheners","Zivara Air Care","5 L refill shown with spray bottle","source-assets\full-catalogue\website folder\air freshner\Zivara sandal air freshner 5 ltr.jpg"
